price,address,squares,type,year,bed,bath,tax
"CA$618,800","3833 Evergreen Place #302, Burnaby, BC",567 sq.ft. Home,"Residential, Condo",2023,1,1,NA
"CA$699,999","6595 Willingdon Avenue #307, Burnaby, BC","1,073 sq.ft. Home","Residential, Condo",1982,2,1+1,NA
"CA$599,000","10020 Dunoon Drive #314, Richmond, BC",677 sq.ft. Home,"Residential, Condo",2013,1,1,NA
"CA$959,000","14588 Mcdougall Drive #202, Surrey, BC","1,300 sq.ft. Home","Residential, Condo",2020,2,2,NA
"CA$858,000","9989 Barnston Drive E #11, Surrey, BC","1,522 sq.ft. Home","Residential, Condo",2017,3,2+1,NA
"CA$758,000","3132 Dayanee Springs Boulevard #413, Coquitlam, BC",925 sq.ft. Home,"Residential, Condo",2009,2,2,NA
"CA$858,000","822 Homer Street #1303, Vancouver, BC",837 sq.ft. Home,"Residential, Condo",1999,2,2,NA
"CA$628,000","657 Whiting Way #1801, Coquitlam, BC",591 sq.ft. Home,"Residential, Condo",2020,1,1,NA
"CA$788,000","189 National Avenue #306, Vancouver, BC",939 sq.ft. Home,"Residential, Condo",2005,2,1,NA
"CA$919,000","8217 204b Street #40, Langley, BC","1,500 sq.ft. Home","Residential, Condo",2017,3,2+1,NA
"CA$489,900","11077 Ravine Road #123, Surrey, BC",519 sq.ft. Home,"Residential, Condo",2022,1,1,NA
"CA$814,988","6537 Telford Avenue #3405, Burnaby, BC",604 sq.ft. Home,"Residential, Condo",2024,2,1,NA
"CA$566,800","371 Ellesmere Avenue #311, Burnaby, BC",911 sq.ft. Home,"Residential, Condo",1973,2,1+1,NA
"CA$699,900","6950 Nicholson Road #415, Delta, BC","1,041 sq.ft. Home","Residential, Condo",2021,3,2,NA
"CA$836,000","1128 Kensal Place #304, Coquitlam, BC","1,001 sq.ft. Home","Residential, Condo",2013,2,2,NA
"CA$599,900","7468 Lansdowne Road #1509, Richmond, BC",608 sq.ft. Home,"Residential, Condo",2017,1,1,NA
"CA$699,888","888 Carnarvon Street #1202, New Westminster, BC","1,184 sq.ft. Home","Residential, Condo",2009,2,2,NA
"CA$678,000","719 Princess Street #1204, New Westminster, BC",986 sq.ft. Home,"Residential, Condo",1995,2,1+1,NA
"CA$569,900","4893 Clarendon Street #312, Vancouver, BC",825 sq.ft. Home,"Residential, Condo",1996,1,1,NA
"CA$838,000","9099 Cook Road #1206, Richmond, BC",885 sq.ft. Home,"Residential, Condo",2015,2,2,NA
"CA$998,000","4738 Hemlock Way #217, Tsawwassen, BC","1,599 sq.ft. Home","Residential, Condo",2022,4,2+1,NA
"CA$789,900","1771 Nelson Street #101, Vancouver, BC",964 sq.ft. Home,"Residential, Condo",1990,2,1,NA
"CA$798,000","1955 Alpha Way #2701, Burnaby, BC",731 sq.ft. Home,"Residential, Condo",2020,2,2,NA
"CA$929,000","3833 Evergreen Place #701, Burnaby, BC",950 sq.ft. Home,"Residential, Condo",2023,3,2,NA
"CA$969,000","1333 Georgia Street W #409, Vancouver, BC",947 sq.ft. Home,"Residential, Condo",2006,2,2,NA
"CA$499,000","45 Fourth Street #209, New Westminster, BC",793 sq.ft. Home,"Residential, Condo",1981,2,1,NA
"CA$499,900","2277 30th Avenue E #309, Vancouver, BC",686 sq.ft. Home,"Residential, Condo",1977,1,1,NA
"CA$699,000","507 6th Avenue E #304, Vancouver, BC",690 sq.ft. Home,"Residential, Condo",1989,1,1,NA
"CA$668,000","1050 Smithe Street #1104, Vancouver, BC",674 sq.ft. Home,"Residential, Condo",2005,1,1,NA
"CA$648,000","1050 Smithe Street #204, Vancouver, BC",674 sq.ft. Home,"Residential, Condo",2005,1,1,NA
"CA$618,000","1050 Smithe Street #203, Vancouver, BC",635 sq.ft. Home,"Residential, Condo",2005,1,1,NA
"CA$899,900","7303 Noble Lane #2502, Burnaby, BC",802 sq.ft. Home,"Residential, Condo",2019,2,2,NA
"CA$660,000","2181 Madison Avenue #2608, Burnaby, BC",538 sq.ft. Home,"Residential, Condo",2023,1,1,NA
"CA$954,900","14151 58a Avenue #145, Surrey, BC","1,537 sq.ft. Home","Residential, Condo",2023,3,2+1,NA
"CA$695,000","4650 Brentwood Boulevard #3008, Burnaby, BC",560 sq.ft. Home,"Residential, Condo",2021,1,1,NA
"CA$639,900","2970 King George Boulevard #221, Surrey, BC",969 sq.ft. Home,"Residential, Condo",2009,2,2,NA
"CA$568,000","5388 Grimmer Street #PH9, Burnaby, BC",620 sq.ft. Home,"Residential, Condo",2011,1,1,NA
"CA$465,000","8988 Hudson Street #116, Vancouver, BC",465 sq.ft. Home,"Residential, Condo",2004,1,1,NA
"CA$578,000","1133 Hornby Street #1503, Vancouver, BC",500 sq.ft. Home,"Residential, Condo",2017,1,1,NA
"CA$599,800","9019 Cook Road #605, Richmond, BC",592 sq.ft. Home,"Residential, Condo",2015,1,1,NA
"CA$548,000","6438 195a Street #202, Surrey, BC",682 sq.ft. Home,"Residential, Condo",2018,2,2,NA
"CA$998,000","4083 Cambie Street #302, Vancouver, BC",904 sq.ft. Home,"Residential, Condo",2017,2,2,NA
"CA$748,800","8328 207a Street #454, Langley, BC","1,118 sq.ft. Home","Residential, Condo",2012,2,2,NA
"CA$818,000","14833 61 Avenue #103, Surrey, BC","1,410 sq.ft. Home","Residential, Condo",2013,4,3,NA
"CA$978,000","7177 194a Street #43, Surrey, BC","1,875 sq.ft. Home","Residential, Condo",2021,3,3+1,NA
"CA$470,000","20078 Fraser Highway #316, Langley, BC",569 sq.ft. Home,"Residential, Condo",2015,1,1,NA
"CA$838,000","2378 Alpha Avenue #1706, Burnaby, BC",770 sq.ft. Home,"Residential, Condo",2018,2,2,NA
"CA$699,900","2233 156 Street #311, Surrey, BC",792 sq.ft. Home,"Residential, Condo",2026,2,2,NA
"CA$789,900","258 Nelson's Court #2102, New Westminster, BC",855 sq.ft. Home,"Residential, Condo",2020,2,2,NA
"CA$899,000","1295 Soball Street #34, Coquitlam, BC","1,259 sq.ft. Home","Residential, Condo",2012,3,2,NA
"CA$498,000","318 Alderson Avenue #1910, Coquitlam, BC",424 sq.ft. Home,"Residential, Condo",2024,NA,1,NA
"CA$614,900","10829 140 Street #E320, Surrey, BC",690 sq.ft. Home,"Residential, Condo",2024,2,2,NA
"CA$948,800","7374 194a Street #17, Surrey, BC","2,027 sq.ft. Home","Residential, Condo",2016,3,3+1,NA
"CA$899,900","9551 Alexandra Road #225, Richmond, BC",940 sq.ft. Home,"Residential, Condo",2019,2,2,NA
"CA$699,900","8447 202 Street #B506, Langley, BC",940 sq.ft. Home,"Residential, Condo",2022,2,2,NA
"CA$899,000","119 22nd Street W #228, North Vancouver, BC",838 sq.ft. Home,"Residential, Condo",2012,2,2,NA
"CA$768,000","4788 Brentwood Drive #201, Burnaby, BC",839 sq.ft. Home,"Residential, Condo",2008,2,2,NA
"CA$988,000","678 Fairview Street #206, Coquitlam, BC","1,016 sq.ft. Home","Residential, Condo",2023,2,2,NA
"CA$575,000","989 Nelson Street #1012, Vancouver, BC",501 sq.ft. Home,"Residential, Condo",1995,1,1,NA
"CA$784,900","39 Sixth Street #1701, New Westminster, BC","1,033 sq.ft. Home","Residential, Condo",2008,2,2,NA
"CA$725,000","2008 54th Avenue E #305, Vancouver, BC",714 sq.ft. Home,"Residential, Condo",2012,1,1,NA
"CA$649,800","7303 Noble Lane #1803, Burnaby, BC",565 sq.ft. Home,"Residential, Condo",2019,1,1,NA
"CA$598,000","308 Alderson Avenue #1901, Coquitlam, BC",516 sq.ft. Home,"Residential, Condo",2024,1,1,NA
"CA$785,000","22206 124 Avenue #24, Maple Ridge, BC","1,648 sq.ft. Home","Residential, Condo",2008,3,2+1,NA
"CA$839,000","1633 Mackay Avenue #305, North Vancouver, BC",889 sq.ft. Home,"Residential, Condo",2008,2,2,NA
"CA$788,888","7433 Cambie Street #2302, Vancouver, BC",531 sq.ft. Home,"Residential, Condo",2022,1,1,NA
"CA$599,000","8189 Cambie Street #701, Vancouver, BC",453 sq.ft. Home,"Residential, Condo",2018,1,1,NA
"CA$589,900","34899 Old Clayburn Road #44, Abbotsford, BC","1,364 sq.ft. Home","Residential, Condo",1988,2,2+1,NA
"CA$878,000","700 Klahanie Drive #418, Port Moody, BC","1,108 sq.ft. Home","Residential, Condo",2006,3,2,NA
"CA$793,900","13428 105 Avenue #2310, Surrey, BC",764 sq.ft. Home,"Residential, Condo",2023,2,2,NA
"CA$755,000","1360 Victoria Street #309, Squamish, BC",810 sq.ft. Home,"Residential, Condo",2024,2,2,NA
"CA$679,000","1199 Seymour Street #902, Vancouver, BC",582 sq.ft. Home,"Residential, Condo",2005,1,1,NA
"CA$719,900","8633 Marine Drive SW #107, Vancouver, BC",895 sq.ft. Home,"Residential, Condo",1989,2,2,NA
"CA$949,000","13898 64 Avenue #28, Surrey, BC","1,693 sq.ft. Home","Residential, Condo",2022,4,3+1,NA
"CA$774,900","1675 Lions Gate Lane #604, North Vancouver, BC",580 sq.ft. Home,"Residential, Condo",2023,1,1,NA
"CA$799,999","6299 144 Street #54, Surrey, BC","2,016 sq.ft. Home","Residential, Condo",2009,3,NA,NA
"CA$589,000","8988 Patterson Road #1108, Richmond, BC",543 sq.ft. Home,"Residential, Condo",2017,1,1,NA
"CA$499,000","11935 Burnett Street #316, Maple Ridge, BC",746 sq.ft. Home,"Residential, Condo",2010,1,1,NA
"CA$559,900","2988 Silver Springs Boulevard #206, Coquitlam, BC",743 sq.ft. Home,"Residential, Condo",2004,1,1,NA
"CA$899,000","108 8th Street E #417, North Vancouver, BC",956 sq.ft. Home,"Residential, Condo",2020,2,2,NA
"CA$875,000","4738 Hemlock Way #191, Tsawwassen, BC","1,497 sq.ft. Home","Residential, Condo",2022,3,2+1,NA
"CA$779,000","166 James Road, Port Moody, BC","1,558 sq.ft. Home","Residential, Condo",1977,3,1+1,NA
"CA$909,000","4880 Lougheed Highway #2409, Burnaby, BC",745 sq.ft. Home,"Residential, Condo",2024,2,2,NA
"CA$790,000","7520 Columbia Street #104, Vancouver, BC","1,125 sq.ft. Home","Residential, Condo",1988,2,2,NA
"CA$618,888","5311 Goring Street #1807, Burnaby, BC",579 sq.ft. Home,"Residential, Condo",2021,1,1,NA
"CA$560,000","928 Homer Street #1607, Vancouver, BC",542 sq.ft. Home,"Residential, Condo",2004,1,1,NA
"CA$634,999","20673 78 Avenue #317, Langley, BC",753 sq.ft. Home,"Residential, Condo",2020,2,2,NA
"CA$529,800","691 North Road #1506, Coquitlam, BC",459 sq.ft. Home,"Residential, Condo",2019,1,1,NA
"CA$738,000","9388 Tomicki Avenue #319, Richmond, BC",841 sq.ft. Home,"Residential, Condo",2017,2,2,NA
"CA$565,000","553 Foster Avenue #302, Coquitlam, BC",672 sq.ft. Home,"Residential, Condo",2013,1,1,NA
"CA$738,000","6463 Silver Avenue #306, Burnaby, BC",582 sq.ft. Home,"Residential, Condo",2022,1,1,NA
"CA$799,000","3281 Kent Avenue North E #606, Vancouver, BC",938 sq.ft. Home,"Residential, Condo",2017,2,2,NA
"CA$999,000","8555 209 Street #53, Langley, BC","1,561 sq.ft. Home","Residential, Condo",1996,2,2,NA
"CA$768,888","5983 Gray Avenue #115, Vancouver, BC",624 sq.ft. Home,"Residential, Condo",2013,1,1,NA
"CA$818,000","65 Foxwood Drive #37, Port Moody, BC","1,151 sq.ft. Home","Residential, Condo",1994,2,2+1,NA
"CA$858,000","7358 Edmonds Street #3606, Burnaby, BC",786 sq.ft. Home,"Residential, Condo",2020,2,2,NA
"CA$649,000","7171 121 Street #309, Surrey, BC","1,170 sq.ft. Home","Residential, Condo",1991,2,2,NA
"CA$649,000","8117 200a Street #301, Langley, BC",782 sq.ft. Home,"Residential, Condo",2024,2,1,NA
"CA$495,000","11077 Ravine Road #425, Surrey, BC",519 sq.ft. Home,"Residential, Condo",2022,1,1,NA
"CA$498,000","11077 Ravine Road #429, Surrey, BC",557 sq.ft. Home,"Residential, Condo",2022,1,1,NA
"CA$505,000","11913 Burnett Street #408, Maple Ridge, BC",764 sq.ft. Home,"Residential, Condo",2024,2,1,NA
"CA$899,900","19525 73 Avenue #143, Surrey, BC","1,802 sq.ft. Home","Residential, Condo",2014,4,2+1,NA
"CA$649,000","7088 18th Avenue #2501, Burnaby, BC",700 sq.ft. Home,"Residential, Condo",2007,1,1,NA
"CA$668,888","23233 Gilley Road #208, Richmond, BC",864 sq.ft. Home,"Residential, Condo",2020,2,2,NA
"CA$589,000","8680 Lansdowne Road #208, Richmond, BC",978 sq.ft. Home,"Residential, Condo",1989,2,2,NA
"CA$886,000","720 Hamilton Street #1005, New Westminster, BC","1,252 sq.ft. Home","Residential, Condo",2005,2,2,NA
"CA$815,000","1633 Mackay Avenue #206, North Vancouver, BC",837 sq.ft. Home,"Residential, Condo",2008,2,2,NA
"CA$989,888","20150 81 Avenue #89, Langley, BC","1,462 sq.ft. Home","Residential, Condo",2022,4,3+1,NA
"CA$925,000","15788 104 Avenue #8, Surrey, BC","1,485 sq.ft. Home","Residential, Condo",2012,3,2+1,NA
"CA$515,000","2340 Hawthorne Avenue #305, Port Coquitlam, BC",728 sq.ft. Home,"Residential, Condo",1994,1,1,NA
"CA$625,000","7388 Kingsway #2003, Burnaby, BC",562 sq.ft. Home,"Residential, Condo",2020,1,1,NA
"CA$816,000","3281 Kent North Avenue E #1107, Vancouver, BC",902 sq.ft. Home,"Residential, Condo",2017,2,2,NA
"CA$999,000","1311 Continental Street, Vancouver, BC",839 sq.ft. Home,"Residential, Condo",2013,1,1+1,NA
"CA$648,000","8988 Patterson Road #1015, Richmond, BC",566 sq.ft. Home,"Residential, Condo",2017,1,1,NA
"CA$719,900","2789 Shaughnessy Street #1903, Port Coquitlam, BC",917 sq.ft. Home,"Residential, Condo",2012,2,2,NA
"CA$500,000","8168 120a Street #301, Surrey, BC",648 sq.ft. Home,"Residential, Condo",2010,1,1,NA
"CA$675,000","33310 Westbury Avenue #5, Abbotsford, BC","1,530 sq.ft. Home","Residential, Condo",1970,4,2,NA
"CA$569,888","8139 121a Street #104, Surrey, BC",992 sq.ft. Home,"Residential, Condo",1995,2,1,NA
"CA$768,000","1188 Howe Street #2403, Vancouver, BC",751 sq.ft. Home,"Residential, Condo",1994,2,2,NA
"CA$995,000","6788 Minoru Boulevard #202, Richmond, BC",821 sq.ft. Home,"Residential, Condo",2024,2,2,NA
"CA$859,900","1245 Quayside Drive #1904, New Westminster, BC","1,486 sq.ft. Home","Residential, Condo",1990,3,2+1,NA
"CA$888,000","128 15th Street W #402, North Vancouver, BC",667 sq.ft. Home,"Residential, Condo",2026,1,1,NA
"CA$499,800","74 Miner Street #115, New Westminster, BC",914 sq.ft. Home,"Residential, Condo",1988,2,1,NA
"CA$968,200","2181 Madison Avenue #1706, Burnaby, BC",860 sq.ft. Home,"Residential, Condo",2023,2,2,NA
"CA$588,550","6600 Minoru Boulevard #1028, Richmond, BC",397 sq.ft. Home,"Residential, Condo",2026,NA,1,NA
"CA$679,000","3888 Evergreen Place #1503, Burnaby, BC",538 sq.ft. Home,"Residential, Condo",2023,1,1,NA
"CA$525,000","22222 119 Avenue #304, Maple Ridge, BC","1,092 sq.ft. Home","Residential, Condo",1987,2,2,NA
"CA$798,000","1000 Beach Avenue #503, Vancouver, BC",792 sq.ft. Home,"Residential, Condo",1991,1,1+1,NA
"CA$999,900","9688 162 A Street #67, Surrey, BC","1,521 sq.ft. Home","Residential, Condo",2021,3,2+1,NA
"CA$749,000","8775 161 Street #53, Surrey, BC","1,131 sq.ft. Home","Residential, Condo",2002,2,2+1,NA
"CA$988,800","16315 23a Avenue #9, Surrey, BC","1,496 sq.ft. Home","Residential, Condo",2017,3,2+1,NA
"CA$625,000","8110 120a Street #315, Surrey, BC",947 sq.ft. Home,"Residential, Condo",1996,2,2,NA
"CA$838,000","4118 Yukon Street #301, Vancouver, BC",725 sq.ft. Home,"Residential, Condo",2019,1,1,NA
"CA$598,800","511 Rochester Avenue #1103, Coquitlam, BC",771 sq.ft. Home,"Residential, Condo",2007,1,1,NA
"CA$494,900","3172 Gladwin Road #307, Abbotsford, BC","1,087 sq.ft. Home","Residential, Condo",1995,2,2,NA
"CA$999,999","7433 Cambie Street #2605, Vancouver, BC","1,160 sq.ft. Home","Residential, Condo",2022,2,2,NA
"CA$598,000","535 Blue Mountain Street #310, Coquitlam, BC",824 sq.ft. Home,"Residential, Condo",1975,2,1+1,NA
"CA$939,900","7328 Arcola Street #2401, Burnaby, BC","1,132 sq.ft. Home","Residential, Condo",2009,2,2,NA
"CA$669,000","22150 Dewdney Trunk Road #204, Maple Ridge, BC","1,252 sq.ft. Home","Residential, Condo",2007,3,NA,NA
"CA$930,000","3833 Evergreen Place #207, Burnaby, BC",910 sq.ft. Home,"Residential, Condo",2023,2,2,NA
"CA$549,900","3122 St Johns Street #414, Port Moody, BC",651 sq.ft. Home,"Residential, Condo",1998,1,1,NA
"CA$749,999","3528 146a Street #616, Surrey, BC",877 sq.ft. Home,"Residential, Condo",2024,2,2,NA
"CA$629,000","15621 Marine Drive #105, White Rock, BC",797 sq.ft. Home,"Residential, Condo",2004,1,1,NA
"CA$899,000","1639 162 Street #21, Surrey, BC","1,509 sq.ft. Home","Residential, Condo",2021,3,2+1,NA
"CA$979,900","11355 Cottonwood Drive #17, Maple Ridge, BC","3,207 sq.ft. Home","Residential, Condo",1994,3,3+1,NA
"CA$799,000","488 Helmcken Street #605, Vancouver, BC",875 sq.ft. Home,"Residential, Condo",1995,2,2,NA
"CA$629,000","2975 Atlantic Avenue #903, Coquitlam, BC",700 sq.ft. Home,"Residential, Condo",2014,1,1,NA
"CA$977,500","6350 142 Street #3, Surrey, BC","1,596 sq.ft. Home","Residential, Condo",2014,3,2+1,NA
"CA$899,900","21746 52 Avenue #30, Langley, BC","1,702 sq.ft. Home","Residential, Condo",1993,2,2,NA
"CA$598,000","1863 Wesbrook Mall #22, Vancouver, BC",476 sq.ft. Home,"Residential, Condo",2005,NA,1,NA
"CA$499,000","20834 80 Avenue #A323, Langley, BC",594 sq.ft. Home,"Residential, Condo",2023,1,1,NA
"CA$799,999","5360 201 Street #110, Langley, BC","1,607 sq.ft. Home","Residential, Condo",1990,4,2+1,NA
"CA$788,000","258 Nelson Court #1204, New Westminster, BC",880 sq.ft. Home,"Residential, Condo",2019,2,2,NA
"CA$589,900","3535 146a Street #411, Surrey, BC",644 sq.ft. Home,"Residential, Condo",2020,1,1,NA
"CA$629,999","2351 Beta Avenue #1402, Burnaby, BC",534 sq.ft. Home,"Residential, Condo",2021,1,1,NA
"CA$798,000","20487 65 Avenue #B312, Langley, BC","1,326 sq.ft. Home","Residential, Condo",2022,3,2,NA
"CA$819,000","23560 119 Avenue #49, Maple Ridge, BC","1,578 sq.ft. Home","Residential, Condo",1997,4,1+1,NA
"CA$559,900","6575 196 Street #408, Surrey, BC",511 sq.ft. Home,"Residential, Condo",2025,1,1,NA
"CA$788,000","438 Seymour Street #1208, Vancouver, BC",710 sq.ft. Home,"Residential, Condo",1996,2,2,NA
"CA$999,900","6929 Balmoral Street #16, Burnaby, BC","1,277 sq.ft. Home","Residential, Condo",2024,3,2+1,NA
"CA$739,900","3528 146a Street #617, Surrey, BC",868 sq.ft. Home,"Residential, Condo",2024,2,1,NA
"CA$935,000","9652 162a Street #51, Surrey, BC","1,393 sq.ft. Home","Residential, Condo",2023,3,2,NA
"CA$839,900","615 Cottonwood Avenue #418, Coquitlam, BC",861 sq.ft. Home,"Residential, Condo",2024,2,2,NA
"CA$499,900","318 Alderson Avenue #1606, Coquitlam, BC",524 sq.ft. Home,"Residential, Condo",2024,1,1,NA
"CA$709,000","6383 Mckay Avenue #2802, Burnaby, BC",532 sq.ft. Home,"Residential, Condo",2020,1,1,NA
"CA$988,000","22600 Gilley Road #3, Richmond, BC","1,273 sq.ft. Home","Residential, Condo",2019,3,2+1,NA
"CA$675,000","10180 153 Street #424, Surrey, BC","1,128 sq.ft. Home","Residential, Condo",2007,2,2,NA
"CA$559,500","13316 Old Yale Road #201, Surrey, BC",962 sq.ft. Home,"Residential, Condo",1982,2,1+1,NA
"CA$789,900","6511 Sussex Avenue #3303, Burnaby, BC",587 sq.ft. Home,"Residential, Condo",2023,1,1,NA
"CA$538,800","8500 General Currie Road #207, Richmond, BC",730 sq.ft. Home,"Residential, Condo",1990,1,1,NA
"CA$645,000","813 Agnes Street #1306, New Westminster, BC",817 sq.ft. Home,"Residential, Condo",2006,2,2,NA
"CA$599,900","16068 83 Avenue #211, Surrey, BC","1,143 sq.ft. Home","Residential, Condo",2005,2,2,NA
"CA$630,000","12039 64 Avenue #207, Surrey, BC",870 sq.ft. Home,"Residential, Condo",2012,2,2,NA
"CA$509,900","32174 George Ferguson Way #517, Abbotsford, BC",836 sq.ft. Home,"Residential, Condo",2024,2,2,NA
"CA$649,900","32174 George Ferguson Way #316, Abbotsford, BC","1,228 sq.ft. Home","Residential, Condo",2024,2,2,NA
"CA$619,000","308 Alderson Avenue #2306, Coquitlam, BC",556 sq.ft. Home,"Residential, Condo",2024,1,1,NA
"CA$818,000","9388 Odlin Road #325, Richmond, BC",931 sq.ft. Home,"Residential, Condo",2014,2,2,NA
"CA$599,900","32174 George Ferguson Way #313, Abbotsford, BC","1,075 sq.ft. Home","Residential, Condo",2024,2,2,NA
"CA$698,000","9888 University Crescent #318, Burnaby, BC",842 sq.ft. Home,"Residential, Condo",2022,2,2,NA
"CA$589,900","32174 George Ferguson Way #203, Abbotsford, BC","1,088 sq.ft. Home","Residential, Condo",2024,2,2,NA
"CA$919,900","20329 80 Avenue #15, Langley, BC","1,366 sq.ft. Home","Residential, Condo",2024,4,2+1,NA
"CA$599,000","9887 Whalley Boulevard #2505, Surrey, BC",600 sq.ft. Home,"Residential, Condo",2021,1,1,NA
"CA$688,000","6651 Minoru Boulevard #803, Richmond, BC","1,176 sq.ft. Home","Residential, Condo",1973,2,2,NA
"CA$929,900","20329 80 Avenue #41, Langley, BC","1,354 sq.ft. Home","Residential, Condo",2024,3,2+1,NA
"CA$665,000","5486 199a Street #514, Langley, BC",935 sq.ft. Home,"Residential, Condo",2021,2,2,NA
"CA$595,000","12409 Harris Road #301, Pitt Meadows, BC",770 sq.ft. Home,"Residential, Condo",2015,2,2,NA
"CA$795,000","7686 209 Street #64, Langley, BC","1,383 sq.ft. Home","Residential, Condo",2015,3,2+1,NA
"CA$699,000","15385 101a Avenue #412, Surrey, BC","1,115 sq.ft. Home","Residential, Condo",2007,2,2,NA
"CA$998,800","6351 Buswell Street #1701, Richmond, BC","1,142 sq.ft. Home","Residential, Condo",2008,2,2,NA
"CA$469,900","33480 George Ferguson Way #106, Abbotsford, BC","1,019 sq.ft. Home","Residential, Condo",1996,2,2,NA
"CA$930,000","4900 Lennox Lane #1504, Burnaby, BC",865 sq.ft. Home,"Residential, Condo",2017,2,2,NA
"CA$625,000","10428 Whalley Boulevard #310, Surrey, BC",738 sq.ft. Home,"Residential, Condo",2025,2,1,NA
"CA$558,000","6733 Buswell Street #501, Richmond, BC",758 sq.ft. Home,"Residential, Condo",2012,1,1,NA
"CA$519,900","13359 Old Yale Road #2303, Surrey, BC",510 sq.ft. Home,"Residential, Condo",2023,1,1,NA
"CA$999,999","2277 Oak Meadows Drive #183, Surrey, BC","1,962 sq.ft. Home","Residential, Condo",2018,4,3+1,NA
"CA$835,900","6511 Sussex Avenue #2907, Burnaby, BC",638 sq.ft. Home,"Residential, Condo",2023,1,1,NA
"CA$975,900","6511 Sussex Avenue #1202, Burnaby, BC",847 sq.ft. Home,"Residential, Condo",2023,3,2,NA
"CA$925,000","22087 49 Avenue #307, Langley, BC","1,605 sq.ft. Home","Residential, Condo",2018,2,2,NA
